,gal_num,redshift,xcoord,xcoord_error,ycoord,ycoord_error,int_mag,int_mag_error,half_light_rad,half_light_rad_error,sersic_index,sersic_index_error,axis_ratio,axis_ratio_error,position_angle,position_angle_error,reduced_chi_squared,inclination_angle,is_good_fit,shows_internal_struct,overlaps_w_object,is_big_galaxy,edited,double_model,QSO,azimuthal_angle
3,1734,0.1781654,1026.11,0.11,1258.15,0.05,16.12,0.02,7.01,0.22,0.96,0.09,0.21,0.01,63.78,0.81,1.144,77.87764775521089,True,False,False,True,False,False,J1342-0053,65.26608217951834
4,1742,0.3102577,1709.92,0.08,637.75,0.09,16.95,0.04,2.59,0.22,2.04,0.65,0.4,0.07,11.67,4.34,1.288,66.42182152179817,True,False,False,False,False,False,J1342-0053,88.69215074673855
5,1746,0.3918698,1669.7,0.06,658.38,0.08,17.43,0.03,1.64,0.29,0.61,0.87,0.39,0.15,-30.91,8.36,1.373,67.04550059860719,True,False,False,False,False,False,J1342-0053,49.44730785667992
6,1747,0.393059,1475.75,0.11,996.13,0.11,17.14,0.04,2.96,0.22,1.22,0.29,0.91,0.08,-64.19,34.93,1.116,24.49464847141968,True,False,False,False,False,False,J1342-0053,46.66546921923783
7,1748,0.4203496,1737.03,0.11,1142.77,0.07,16.71,0.03,4.17,0.19,1.07,0.15,0.47,0.03,-87.95,2.88,1.101,61.96570346511873,True,False,False,True,False,False,J1342-0053,56.69324720912757
8,1753,0.5023,1381.18,0.05,1050.08,0.05,16.64,0.02,2.83,0.1,0.81,0.16,0.41,0.04,0.7,2.41,1.08,65.79516519854168,True,False,True,False,True,False,J1342-0053,45.03901615203477
0,2273,0.05882,4398.18,0.12,2764.32,0.1,16.21,0.05,7.8,0.55,1.62,0.22,0.72,0.04,54.46,5.66,1.105,43.945519562308846,True,False,False,True,True,False,J2345-0059,32.86605630013839
1,2274,0.0805037647687449,3463.41,0.19,1103.99,0.26,15.03,0.12,16.48,0.4,0.69,0.05,0.58,0.03,-16.92,1.23,0.511,54.54945736082459,False,True,True,True,True,True,J2345-0059,50.78660038293901
2,2288,0.4106416145082349,2841.31,0.02,1237.17,0.02,13.13,0.01,18.14,0.23,1.85,0.02,0.71,0.0,53.59,0.45,0.79,44.76508467132842,True,True,False,True,True,False,J2345-0059,26.714127195372864
3,2290,0.4544839491889329,3384.77,0.01,2638.12,0.01,16.9,0.04,0.97,0.17,9.06,0.01,0.74,0.0,43.0,0.0,1.475,42.26858442957247,False,False,False,False,True,True,J2345-0059,5.389949679883943
0,358,0.0576563,2260.13,0.14,2795.51,0.18,16.61,0.03,5.49,0.28,0.73,0.13,0.74,0.04,11.05,7.51,1.147,42.26858442957247,True,False,False,True,False,False,J0914+2823,41.36484210643618
1,368,0.2282073,4138.64,0.02,1790.4,0.01,12.67,0.0,13.22,0.07,1.43,0.01,0.49,0.0,-73.1,0.17,0.972,60.65941842497627,True,True,False,True,False,False,J0914+2823,46.799520069077225
2,374,0.2895963,4137.92,0.16,3060.97,0.07,16.11,0.02,8.4,0.22,0.56,0.07,0.27,0.01,-70.11,0.95,1.154,74.33573314862649,True,False,False,True,False,False,J0914+2823,73.43501822576776
3,376,0.3083012,2238.89,0.31,2004.98,0.11,15.9,0.03,14.85,0.5,0.38,0.06,0.22,0.01,-77.78,0.77,1.099,77.29096700560457,True,False,False,True,False,False,J0914+2823,83.46947177014259
4,377,0.3111439,2631.39,0.1,1452.03,0.11,16.03,0.2,14.2,5.37,4.56,1.25,0.37,0.04,-42.75,2.56,1.133,68.28438271673555,False,False,True,True,False,False,J0914+2823,76.5769220754965
5,411,0.5993769,2847.18,0.08,2845.48,0.11,15.27,0.01,12.85,0.16,0.47,0.03,0.24,0.0,35.19,0.35,1.065,76.11345963737101,True,False,False,True,False,False,J0914+2823,80.33808880228756
6,414,0.6008387,3299.98,0.09,3039.82,0.15,15.94,0.01,9.22,0.16,0.17,0.03,0.5,0.01,-0.66,1.18,1.089,60.00000000000001,False,False,True,True,False,False,J0914+2823,76.09459922681376
7,415,0.6317785,2723.1,0.06,2733.56,0.04,15.13,0.01,7.78,0.13,0.98,0.04,0.59,0.01,-66.11,1.13,1.042,53.84299179900117,True,False,False,True,False,False,J0914+2823,17.682157748137172
8,421,0.6478769,2758.05,0.1,2807.07,0.08,15.31,0.03,10.6,0.38,1.27,0.06,0.68,0.02,-64.26,2.4,1.037,47.15635695640366,True,False,False,True,False,False,J0914+2823,8.846042603262028
0,2227,0.1572225116094066,1002.46,0.03,812.16,0.02,15.63,0.01,2.09,0.08,2.68,0.34,0.28,0.03,49.88,1.43,1.384,73.73979529168804,True,False,False,False,False,False,J1555+3628,21.330486492479302
1,2232,0.2349345697583642,1485.85,0.11,853.73,0.15,16.03,0.02,6.22,0.23,0.68,0.08,0.65,0.02,-11.91,3.47,1.108,49.45839812649548,True,False,False,True,False,False,J1555+3628,79.60908818244623
2,2234,0.3642559901512221,1453.9,0.02,905.88,0.02,15.36,0.01,0.83,0.06,2.06,0.45,0.74,0.06,-22.66,7.39,1.311,42.26858442957247,True,False,False,False,True,False,J1555+3628,79.73261540806679
3,2239,0.4333783777287409,1938.21,0.04,771.34,0.04,15.2,0.01,4.23,0.06,0.61,0.04,0.79,0.01,-79.37,2.66,1.091,37.81448850601414,True,False,False,True,False,False,J1555+3628,44.84745604598631
4,2241,0.46316,1854.89,0.01,1215.48,0.01,11.48,0.23,304.61,199.65,20.0,2.55,0.56,0.01,80.14,0.64,3.761,55.94420225743209,False,True,False,True,True,True,J1555+3628,59.45648531922139
